FUENTE;FUENTE 2;FECHA;HORA;ORIGEN;DESTINO;CANTIDAD;MONTO;INFRAESTRUCTURA;INSUMOS MEDICOS;EQUIPAMIENTO;IMPLEMENTOS DE BIOSEGURIDAD;CONCEPTO;ESTADO;NOTICIA
BTV;REDES;21/05/2020;15:22:12;PRIVADO;SANTA CRUZ;;;;;;OK;DONACION;Entregado;"La brigada ""Avei"" realiza la entrega de trajes de bioseguridad al hospital San Juan de Dios de #SantaCruz en apoyo al personal de salud ante esta pandemia, como modo de prevenciÛn ante el #coronavirus.
#Salud
"
RAZ;REDES;21/05/2020;12:54:55;GOBIERNO;BENI;;;;OK;;;COMPRA;Entregado;La GobernaciÛn de #Beni entrega insumos de desinfecciÛn  a las Fuerzas Armadas para prevenir casos de #coronavirus. Fotos: abi_bolivia 
UNI;REDES;21/05/2020;19:08:19;GOBIERNO;SANTA CRUZ;30;;;;OK;;COMPRA;Entregado;Los 30 respiradores entregados a Santa Cruz no funcionan por falta de actualizaciÛn de software
BTV;REDES;22/05/2020;20:22:13;GOBIERNO;BENI;;;;OK;OK;;COMPRA;Entregado;"El Gobierno Nacional entregÛ equipos e insumos mÈdicos al Hospital Germ·n Busch, en #Trinidad, para fortalecer la atenciÛn a pacientes con #Covid19. 
"
BTV;REDES;22/05/2020;20:26:36;GOBIERNO;TARIJA;;;;OK;;;COMPRA;Entregado;"La SubgobernaciÛn de Cercado, #Tarija entrega de lote de ivermectina en c·psulas y gotas al Servicio Departamental de Salud. SÛlo para el uso de la unidad de epidemiologÌa. 
"
DEB;REDES;22/05/2020;03:27:31;GOBIERNO;SANTA CRUZ;;;;;OK;;COMPRA;Entregado;Son 30 los equipos que la semana pasada fueron entregados a la GobernaciÛn para que se distribuyan en el sistema de salud cruceÒo  
RAZ;REDES;22/05/2020;19:07:34;GOBIERNO;BENI;;;;;OK;;COMPRA;Entregado;"#EnDirecto
El Ministro de EnergÌa entrega un tomÛgrafo al Hospital Germ·n Busch de #Trinidad, para la lucha contra el coronavirus "
BTV;REDES;23/05/2020;22:09:52;GOBIERNO;BENI;;;;OK;OK;OK;COMPRA;Entregado;"El Gobierno nacional entregÛ el s·bado al departamento del #Beni equipamiento para terapia intensiva, medicamentos, insumos mÈdicos e Ìtems para el sector de salud del departamento.

#Salud  
"
MSA;REDES;23/05/2020;13:54:55;PRIVADO;GOBIERNO;VARIOS;;;OK;OK;;DONACION;Entregado;" Unilever entrega 20 ventiladores y 1.800 reactivos para detecciÛn de #COVID19 al Ministerio de Salud

Lee la nota completa en: "
RAZ;REDES;23/05/2020;22:46:31;GOBIERNO;BENI;;;;OK;OK;OK;COMPRA;Entregado;"#Beni
Camas de terapia intensiva completas, insumos, medicamentos, adem·s de profesionales de salud con sus respectivos Ìtems llegaron al aeropuerto de Trinidad
"
RAZ;REDES;23/05/2020;22:22:31;GOBIERNO;BENI;;;;;OK;;COMPRA;Entregado;"#Lo⁄ltimo
El Gobierno enviÛ este s·bado equipos de terapia intensiva a Trinidad, #Beni, una de las regiones m·s afectada por el #COVID19 "
